Регион,Год,Месяц,Поездки,Месяц_номер,Дата,is_outlier,lag_1,lag_3,lag_6,lag_12,ma_3,ma_6,ma_12,месяц,квартал,год,день_года,is_holiday_month,season
Алтайский край,2022,январь,52432.0,1,2022-01-01,False,,,,,52432.0,52432.0,52432.0,1,1,2022,1,1,зима
Алтайский край,2022,январь-февраль,107919.0,2,2022-02-01,False,52432.0,,,,80175.5,80175.5,80175.5,2,1,2022,32,1,зима
Алтайский край,2022,январь-март,174400.0,3,2022-03-01,False,107919.0,,,,111583.66666666667,111583.66666666667,111583.66666666667,3,1,2022,60,1,весна
Алтайский край,2022,январь-апрель,376047.0,4,2022-04-01,False,174400.0,52432.0,,,219455.33333333334,177699.5,177699.5,4,2,2022,91,0,весна
Алтайский край,2022,январь-май,578154.0,5,2022-05-01,False,376047.0,107919.0,,,376200.3333333333,257790.4,257790.4,5,2,2022,121,1,весна
Алтайский край,2022,январь-июнь,774084.0,6,2022-06-01,False,578154.0,174400.0,,,576095.0,343839.3333333333,343839.3333333333,6,2,2022,152,0,лето
Алтайский край,2022,январь-июль,1000977.0,7,2022-07-01,False,774084.0,376047.0,52432.0,,784405.0,501930.1666666667,437716.14285714284,7,3,2022,182,0,лето
Алтайский край,2022,январь-август,1182370.0,8,2022-08-01,False,1000977.0,578154.0,107919.0,,985810.3333333334,681005.3333333334,530797.875,8,3,2022,213,0,лето
Алтайский край,2022,январь-сентябрь,1319737.0,9,2022-09-01,False,1182370.0,774084.0,174400.0,,1167694.6666666667,871894.8333333334,618457.7777777778,9,3,2022,244,0,осень
Алтайский край,2022,январь-октябрь*,1412573.0,10,2022-10-01,False,1319737.0,1000977.0,376047.0,,1304893.3333333333,1044649.1666666666,697869.3,10,4,2022,274,0,осень
Алтайский край,2022,январь-ноябрь*,1495843.0,11,2022-11-01,False,1412573.0,1182370.0,578154.0,,1409384.3333333333,1197597.3333333333,770412.3636363636,11,4,2022,305,0,осень
Алтайский край,2022,январь-декабрь*,1571744.0,12,2022-12-01,False,1495843.0,1319737.0,774084.0,,1493386.6666666667,1330540.6666666667,837190.0,12,4,2022,335,1,зима
Алтайский край,2023,январь,124555.0,1,2023-01-01,False,1571744.0,1412573.0,1000977.0,52432.0,1064047.3333333333,1184470.3333333333,843200.25,1,1,2023,1,1,зима
Алтайский край,2023,январь-февраль,267027.0,2,2023-02-01,False,124555.0,1495843.0,1182370.0,107919.0,654442.0,1031913.1666666666,856459.25,2,1,2023,32,1,зима
Алтайский край,2023,январь-март,432797.0,3,2023-03-01,False,267027.0,1571744.0,1319737.0,174400.0,274793.0,884089.8333333334,877992.3333333334,3,1,2023,60,1,весна
Алтайский край,2023,январь-апрель,597216.0,4,2023-04-01,False,432797.0,124555.0,1412573.0,376047.0,432346.6666666667,748197.0,896423.0833333334,4,2,2023,91,0,весна
Алтайский край,2023,январь-май,779012.0,5,2023-05-01,False,597216.0,267027.0,1495843.0,578154.0,603008.3333333334,628725.1666666666,913161.25,5,2,2023,121,1,весна
Алтайский край,2023,январь-июнь,1006742.0,6,2023-06-01,False,779012.0,432797.0,1571744.0,774084.0,794323.3333333334,534558.1666666666,932549.4166666666,6,2,2023,152,0,лето
Алтайский край,2023,январь-июль,1323852.0,7,2023-07-01,False,1006742.0,597216.0,124555.0,1000977.0,1036535.3333333334,734441.0,959455.6666666666,7,3,2023,182,0,лето
Алтайский край,2023,январь-август,1574676.0,8,2023-08-01,False,1323852.0,779012.0,267027.0,1182370.0,1301756.6666666667,952382.5,992147.8333333334,8,3,2023,213,0,лето
Алтайский край,2023,январь-сентябрь,1754667.0,9,2023-09-01,False,1574676.0,1006742.0,432797.0,1319737.0,1551065.0,1172694.1666666667,1028392.0,9,3,2023,244,0,осень
Алтайский край,2024,январь,86785.0,1,2024-01-01,False,1754667.0,1323852.0,597216.0,1412573.0,1138709.3333333333,1087622.3333333333,917909.6666666666,1,1,2024,1,1,зима
Алтайский край,2024,январь-февраль,179662.0,2,2024-02-01,False,86785.0,1574676.0,779012.0,1495843.0,673704.6666666666,987730.6666666666,808227.9166666666,2,1,2024,32,1,зима
Алтайский край,2024,январь-март,283398.0,3,2024-03-01,False,179662.0,1754667.0,1006742.0,1571744.0,183281.66666666666,867173.3333333334,700865.75,3,1,2024,61,1,весна
Алтайский край,2024,январь-апрель,395478.0,4,2024-04-01,False,283398.0,86785.0,1323852.0,124555.0,286179.3333333333,712444.3333333334,723442.6666666666,4,2,2024,92,0,весна
Алтайский край,2024,январь-май,518714.0,5,2024-05-01,False,395478.0,179662.0,1574676.0,267027.0,399196.6666666667,536450.6666666666,744416.5833333334,5,2,2024,122,1,весна
Алтайский край,2024,январь-июнь,694361.0,6,2024-06-01,False,518714.0,283398.0,1754667.0,432797.0,536184.3333333334,359733.0,766213.5833333334,6,2,2024,153,0,лето
Алтайский край,2024,январь-июль,983293.0,7,2024-07-01,False,694361.0,395478.0,86785.0,597216.0,732122.6666666666,509151.0,798386.6666666666,7,3,2024,183,0,лето
Алтайский край,2024,январь-август,1223525.0,8,2024-08-01,False,983293.0,518714.0,179662.0,779012.0,967059.6666666666,683128.1666666666,835429.4166666666,8,3,2024,214,0,лето
Алтайский край,2024,январь-сентябрь,1374100.0,9,2024-09-01,False,1223525.0,694361.0,283398.0,1006742.0,1193639.3333333333,864911.8333333334,866042.5833333334,9,3,2024,245,0,осень
Алтайский край,2025,январь,111837.0,1,2025-01-01,False,1374100.0,983293.0,395478.0,1323852.0,903154.0,817638.3333333334,765041.3333333334,1,1,2025,1,1,зима
Алтайский край,2025,январь-февраль,232808.0,2,2025-02-01,False,111837.0,1223525.0,518714.0,1574676.0,572915.0,769987.3333333334,653219.0,2,1,2025,32,1,зима
Алтайский край,2025,январь-март,366341.0,3,2025-03-01,False,232808.0,1374100.0,694361.0,1754667.0,236995.33333333334,715317.3333333334,537525.1666666666,3,1,2025,60,1,весна
Алтайский край,2025,январь-апрель,470680.0,4,2025-04-01,False,366341.0,111837.0,983293.0,86785.0,356609.6666666667,629881.8333333334,569516.4166666666,4,2,2025,91,0,весна
Алтайский край,2025,январь-май,600640.0,5,2025-05-01,False,470680.0,232808.0,1223525.0,179662.0,479220.3333333333,526067.6666666666,604597.9166666666,5,2,2025,121,1,весна
Алтайский край,2025,январь-июнь,785316.0,6,2025-06-01,False,600640.0,366341.0,1374100.0,283398.0,618878.6666666666,427937.0,646424.4166666666,6,2,2025,152,0,лето
Алтайский край,2025,январь-июль,1086395.0,7,2025-07-01,False,785316.0,470680.0,111837.0,395478.0,824117.0,590363.3333333334,704000.8333333334,7,3,2025,182,0,лето
Алтайский край,2025,январь-август,1316592.0,8,2025-08-01,False,1086395.0,600640.0,232808.0,518714.0,1062767.6666666667,770994.0,770490.6666666666,8,3,2025,213,0,лето
Алтайский край,2025,январь-сентябрь,1476334.0,9,2025-09-01,False,1316592.0,785316.0,366341.0,694361.0,1293107.0,955992.8333333334,835655.0833333334,9,3,2025,244,0,осень
Амурская область,2022,январь,30016.0,1,2022-01-01,False,,,,,30016.0,30016.0,30016.0,1,1,2022,1,1,зима
Амурская область,2022,январь-февраль,60303.0,2,2022-02-01,False,30016.0,,,,45159.5,45159.5,45159.5,2,1,2022,32,1,зима
Амурская область,2022,январь-март,87297.0,3,2022-03-01,False,60303.0,,,,59205.333333333336,59205.333333333336,59205.333333333336,3,1,2022,60,1,весна
Амурская область,2022,январь-апрель,129558.0,4,2022-04-01,False,87297.0,30016.0,,,92386.0,76793.5,76793.5,4,2,2022,91,0,весна
Амурская область,2022,январь-май,177921.0,5,2022-05-01,False,129558.0,60303.0,,,131592.0,97019.0,97019.0,5,2,2022,121,1,весна
Амурская область,2022,январь-июнь,216973.0,6,2022-06-01,False,177921.0,87297.0,,,174817.33333333334,117011.33333333333,117011.33333333333,6,2,2022,152,0,лето
Амурская область,2022,январь-июль,251760.0,7,2022-07-01,False,216973.0,129558.0,30016.0,,215551.33333333334,153968.66666666666,136261.14285714287,7,3,2022,182,0,лето
Амурская область,2022,январь-август,295873.0,8,2022-08-01,False,251760.0,177921.0,60303.0,,254868.66666666666,193230.33333333334,156212.625,8,3,2022,213,0,лето
Амурская область,2022,январь-сентябрь,348138.0,9,2022-09-01,False,295873.0,216973.0,87297.0,,298590.3333333333,236703.83333333334,177537.66666666666,9,3,2022,244,0,осень
Амурская область,2022,январь-октябрь*,378133.0,10,2022-10-01,False,348138.0,251760.0,129558.0,,340714.6666666667,278133.0,197597.2,10,4,2022,274,0,осень
Амурская область,2022,январь-ноябрь*,409272.0,11,2022-11-01,False,378133.0,295873.0,177921.0,,378514.3333333333,316691.5,216840.36363636365,11,4,2022,305,0,осень
Амурская область,2022,январь-декабрь*,446955.0,12,2022-12-01,False,409272.0,348138.0,216973.0,,411453.3333333333,355021.8333333333,236016.58333333334,12,4,2022,335,1,зима
Амурская область,2023,январь,20685.0,1,2023-01-01,False,446955.0,378133.0,251760.0,30016.0,292304.0,316509.3333333333,235239.0,1,1,2023,1,1,зима
